Seed,Dataset,Sample Size,Model,Model Parameters
5,5G_Slicing,0.2,AdaBoost,"'learning_rate': 0.1, 'n_estimators': 25"
5,5G_Slicing,0.2,Bagging,"'max_samples': 1.0, 'n_estimators': 10"
5,5G_Slicing,0.2,BernoulliNB,"'alpha': 0.1, 'fit_prior': True"
5,5G_Slicing,0.2,DNN,"'hidden_layer_sizes': (32, 16, 8), 'activation': 'relu', 'solver': 'sgd', 'alpha': 0.01, 'batch_size': 50, 'max_iter': 500"
5,5G_Slicing,0.2,DT,"'criterion': 'log_loss', 'max_depth': 160, 'max_features': 'log2', 'class_weight': 'balanced'"
5,5G_Slicing,0.2,ExtraTree,"'criterion': 'gini', 'max_features': None, 'max_depth': 10, 'class_weight': None"
5,5G_Slicing,0.2,ExtraTrees,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 160"
5,5G_Slicing,0.2,GaussianNB,"'priors': None, 'var_smoothing': 0.0001"
5,5G_Slicing,0.2,HistGradientBoosting,"'max_iter': 200, 'learning_rate': 1.0, 'max_depth': 160, 'l2_regularization': 1.0"
5,5G_Slicing,0.2,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'"
5,5G_Slicing,0.2,LinearSVC,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2'"
5,5G_Slicing,0.2,MLP,"'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)"
5,5G_Slicing,0.2,Perceptron,"'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': 'balanced'"
5,5G_Slicing,0.2,RF,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 160"
5,5G_Slicing,0.2,Ridge,"'alpha': 0.1, 'class_weight': None"
5,5G_Slicing,0.2,SGD,"'loss': 'hinge', 'alpha': 0.01, 'class_weight': 'balanced'"
